               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11941,            0.042795,            0.062183,                   0,                   0,                   0,                   0,            0.035273,            0.027007,            0.018694,                 0.1,                   0,                   0
                   1,             0.11925,            0.032988,            0.065778,                   0,                   0,                   0,                   0,            0.034222,            0.028655,            0.018661,              0.0991,          9.9505e-05,          9.9505e-05
                   2,             0.12369,            0.030064,            0.066556,                   0,                   0,                   0,                   0,            0.034119,            0.028553,            0.018656,            0.098198,          0.00019802,          0.00019802
                   3,             0.11849,            0.038482,            0.061392,                   0,                   0,                   0,                   0,            0.034131,            0.028358,            0.018634,            0.097296,          0.00029554,          0.00029554
                   4,             0.11925,            0.038669,            0.057077,                   0,                   0,                   0,                   0,            0.034172,             0.02813,            0.018609,            0.096392,          0.00039208,          0.00039208
                   5,             0.11964,            0.036894,            0.063712,                   0,                   0,                   0,                   0,            0.034322,            0.027827,            0.018601,            0.095488,          0.00048762,          0.00048762
                   6,             0.12001,            0.040436,            0.062121,                   0,                   0,                   0,                   0,            0.034445,            0.027555,            0.018562,            0.094582,          0.00058218,          0.00058218
                   7,             0.12041,            0.033252,            0.061773,                   0,                   0,                   0,                   0,             0.03446,            0.027303,              0.0185,            0.093676,          0.00067574,          0.00067574
                   8,             0.11923,            0.033332,            0.061245,                   0,                   0,                   0,                   0,             0.03446,            0.027303,              0.0185,            0.092768,          0.00076832,          0.00076832
                   9,             0.12146,            0.034188,            0.057502,                   0,                   0,                   0,                   0,            0.034607,            0.026994,            0.018498,             0.09186,          0.00085991,          0.00085991
                  10,             0.11956,            0.036153,            0.059263,                   0,                   0,                   0,                   0,            0.034607,            0.026994,            0.018498,            0.090951,           0.0009505,           0.0009505
                  11,             0.11793,            0.041087,            0.058679,                   0,                   0,                   0,                   0,             0.03495,            0.026516,             0.01841,             0.09004,           0.0010401,           0.0010401
                  12,             0.11602,            0.036106,             0.06095,                   0,                   0,                   0,                   0,             0.03495,            0.026516,             0.01841,            0.089129,           0.0011287,           0.0011287
                  13,              0.1118,            0.038658,            0.056466,                   0,                   0,                   0,                   0,             0.03505,            0.026167,            0.018364,            0.088216,           0.0012163,           0.0012163
                  14,             0.11125,            0.035358,             0.05611,                   0,                   0,                   0,                   0,             0.03505,            0.026167,            0.018364,            0.087303,            0.001303,            0.001303
                  15,             0.11324,            0.037562,             0.06188,                   0,                   0,                   0,                   0,            0.035301,            0.025721,            0.018234,            0.086389,           0.0013886,           0.0013886
                  16,              0.1107,            0.040118,            0.059267,                   0,                   0,                   0,                   0,            0.035301,            0.025721,            0.018234,            0.085473,           0.0014733,           0.0014733
                  17,             0.10817,              0.0491,            0.059218,                   0,                   0,                   0,                   0,            0.035748,            0.025166,            0.018193,            0.084557,           0.0015569,           0.0015569
                  18,             0.11273,            0.041102,              0.0547,                   0,                   0,                   0,                   0,            0.035748,            0.025166,            0.018193,             0.08364,           0.0016396,           0.0016396
                  19,             0.11229,            0.038413,            0.057498,                   0,                   0,                   0,                   0,            0.036084,            0.024689,            0.018169,            0.082721,           0.0017213,           0.0017213
                  20,             0.10552,            0.042748,            0.052747,                   0,                   0,                   0,                   0,            0.036084,            0.024689,            0.018169,            0.081802,            0.001802,            0.001802
                  21,             0.10974,            0.045024,            0.059586,                   0,                   0,                   0,                   0,             0.03638,            0.024184,            0.018133,            0.080882,           0.0018817,           0.0018817
                  22,             0.10579,            0.052246,            0.057128,                   0,                   0,                   0,                   0,             0.03638,            0.024184,            0.018133,             0.07996,           0.0019604,           0.0019604
                  23,             0.10319,            0.033352,            0.052553,                   0,                   0,                   0,                   0,             0.03638,            0.024184,            0.018133,            0.079038,           0.0020381,           0.0020381
                  24,             0.10329,            0.039755,            0.056177,                   0,                   0,                   0,                   0,            0.036516,            0.023777,            0.018099,            0.078115,           0.0021149,           0.0021149
                  25,             0.10513,            0.053931,            0.056173,                   0,                   0,                   0,                   0,            0.036516,            0.023777,            0.018099,            0.077191,           0.0021906,           0.0021906
                  26,             0.10307,             0.03616,            0.059249,                   0,                   0,                   0,                   0,            0.036516,            0.023777,            0.018099,            0.076265,           0.0022654,           0.0022654
                  27,             0.10117,            0.040402,            0.054114,                   0,                   0,                   0,                   0,            0.036573,            0.023477,            0.018102,            0.075339,           0.0023391,           0.0023391
                  28,            0.094482,            0.033922,            0.050342,                   0,                   0,                   0,                   0,            0.036573,            0.023477,            0.018102,            0.074412,           0.0024119,           0.0024119
                  29,             0.10179,            0.043024,            0.060307,                   0,                   0,                   0,                   0,            0.036573,            0.023477,            0.018102,            0.073484,           0.0024837,           0.0024837
                  30,            0.098562,            0.030571,            0.049201,                   0,                   0,                   0,                   0,            0.036941,            0.022979,             0.01798,            0.072554,           0.0025545,           0.0025545
                  31,            0.092041,            0.035492,            0.048596,                   0,                   0,                   0,                   0,            0.036941,            0.022979,             0.01798,            0.071624,           0.0026243,           0.0026243
